stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
51533,Station Beaubien (De Chateaubriand / Beaubien),45.53546,-73.603955,0,
51534,Papineau / Bélanger,45.546359,-73.603345,0,
51535,Bélanger / Papineau,45.546508,-73.603504,0,
51536,Papineau / Bélanger,45.546378,-73.603783,0,
51537,Bélanger / Papineau,45.546208,-73.603578,0,
51538,Crémazie / 17e Avenue,45.566907,-73.603267,0,
51539,17e Avenue / Crémazie,45.566708,-73.603539,0,
51540,Crémazie / 17e Avenue,45.566333,-73.602927,0,
51541,17e Avenue / Crémazie,45.566698,-73.603218,0,
51542,Perras / Élie-Beauregard,45.636602,-73.600864,0,
51543,Perras / Élie-Beauregard,45.636243,-73.601019,0,
51544,Remembrance / Côte-des-Neiges,45.495331,-73.604751,0,
51545,Côte-des-Neiges / Remembrance,45.495413,-73.602318,0,
51546,Côte-des-Neiges / Remembrance,45.494787,-73.604895,0,
51547,Newman / Joseph-Arthur-Cousineau,45.452579,-73.605343,0,
51548,Jarry / 23e Avenue,45.571905,-73.602175,0,
51549,Saint-Hubert / Beaubien,45.536094,-73.60291,0,
51550,Beaubien / Saint-Hubert,45.536243,-73.603049,0,
51551,Beaubien / Saint-Hubert,45.535993,-73.603111,0,
51552,Maurice-Duplessis / Pierre-Blanchet,45.624873,-73.600201,0,
51553,Maurice-Duplessis / Pierre-Blanchet,45.624559,-73.600316,0,
51554,Station D'Iberville (Jean-Talon / Louis-Hébert),45.55289,-73.602551,0,
51555,Saint-Urbain / Bernard,45.526211,-73.603544,0,
51556,Bernard / Saint-Urbain,45.525943,-73.603352,0,
51557,Saint-Michel / L.-O.-David,45.560332,-73.602006,0,
51558,Station Vendôme (De Maisonneuve / Marlowe),45.473985,-73.604509,0,
51559,Girouard / Saint-Jacques,45.469174,-73.604689,0,
51560,Bélanger / Chabot,45.547657,-73.60242,0,
51561,Bélanger / Chabot,45.547364,-73.602486,0,
51562,Allard / Irwin,45.449211,-73.604479,0,
51563,Allard / Irwin,45.448987,-73.605094,0,
51566,Station D'Iberville (Jean-Talon / D'Iberville),45.553481,-73.602022,0,
51568,Newman / Jean-Béraud,45.453556,-73.604543,0,
51569,Newman / Résidence Y.-Brunet,45.45399,-73.604025,0,
51570,Saint-Michel / Everett,45.560114,-73.600981,0,
51571,Bernard / Saint-Laurent,45.527091,-73.602289,0,
51572,Saint-Laurent / Bernard,45.527294,-73.601968,0,
51575,François-Perrault / 14e Avenue,45.563532,-73.601489,0,
51576,du Parc / Saint-Viateur,45.5222,-73.602014,0,
51577,Saint-Viateur / du Parc,45.522372,-73.602148,0,
51578,du Parc / Saint-Viateur,45.522193,-73.602399,0,
51579,De Lorimier / Bélanger,45.548676,-73.601236,0,
51580,Bélanger / De Lorimier,45.548833,-73.601405,0,
51581,De Lorimier / Bélanger,45.548698,-73.601624,0,
51582,Bélanger / De Lorimier,45.548538,-73.601459,0,
51583,Christophe-Colomb / Beaubien,45.537824,-73.601338,0,
51584,Beaubien / Christophe-Colomb,45.537982,-73.601488,0,
51585,Christophe-Colomb / Beaubien,45.537807,-73.601741,0,
51586,Beaubien / Christophe-Colomb,45.537643,-73.601588,0,
51587,Jean-Talon / 1re Avenue,45.554965,-73.600959,0,
51588,Jean-Talon / 1re Avenue,45.554737,-73.600907,0,
51589,Perras / Salomon-Marion,45.637744,-73.598653,0,
51590,Perras / Salomon-Marion,45.637431,-73.598712,0,
51592,Shaughnessy / François-Perrault,45.563987,-73.601066,0,
51594,De Maisonneuve / Bulmer,45.475181,-73.602895,0,
51595,De Chateaubriand / de Bellechasse,45.534011,-73.600763,0,
51596,Villeray / Léonard-De Vinci,45.565924,-73.599677,0,
51597,Villeray / Léonard-De Vinci,45.565695,-73.599697,0,
51598,Beaubien / De Normanville,45.539152,-73.600237,0,
51599,Bélanger / Louis-Hémon,45.550406,-73.600075,0,
51600,Bélanger / Louis-Hémon,45.550149,-73.600086,0,
51601,Notre-Dame / Place Turcot Est,45.465192,-73.602505,0,
51602,Notre-Dame / Place Turcot Est,45.464917,-73.603309,0,
51603,Papineau / Saint-Zotique,45.54466,-73.599686,0,
51604,Papineau / Saint-Zotique,45.54475,-73.600277,0,
51605,Station Saint-Michel (Saint-Michel / Shaughnessy),45.55929,-73.599717,0,
51606,Station Saint-Michel (Saint-Michel / Everett),45.559939,-73.600522,0,
51607,Saint-Hubert / de Bellechasse,45.534607,-73.599621,0,
51608,Jean-Talon / 8e Avenue,45.556929,-73.599331,0,
51609,Jean-Talon / 8e Avenue,45.556653,-73.599279,0,
51610,Maurice-Duplessis / Marc-Aurèle-Fortin,45.626078,-73.597391,0,
51611,des Trinitaires / Lamont,45.446873,-73.602167,0,
51612,Jolicoeur / Jogues,45.455783,-73.602011,0,
51613,Jolicoeur / Jogues,45.455625,-73.602278,0,
51616,26e Avenue / Gouin,45.643742,-73.596738,0,
51617,Villeray / 19e Avenue,45.566975,-73.598755,0,
51618,Villeray / 19e Avenue,45.566754,-73.598761,0,
51619,Armand-Bombardier / Perras,45.638386,-73.596681,0,
51620,Perras / Armand-Bombardier,45.638681,-73.596837,0,
51621,Perras / Armand-Bombardier,45.638251,-73.597123,0,
51622,Perras / Armand-Bombardier,45.638319,-73.597536,0,
51623,Saint-Viateur / Saint-Urbain,45.524869,-73.599861,0,
51624,Saint-Urbain / Saint-Viateur,45.524659,-73.600155,0,
51625,François-Perrault / 13e Avenue,45.56256,-73.602268,0,
51626,Côte-des-Neiges / Blueridge,45.495629,-73.60103,0,
51627,Côte-des-Neiges / Blueridge,45.495389,-73.601272,0,
51628,Beaubien / De Lanaudière,45.540839,-73.598908,0,
